date,matched_words,Deidentified_paragraph,city
11_05_2019,homeless; affordable housing,"Non-profit multifamily supportive housing and homeless shelters shall be exempted from payment of impact fees pursuant to this ordinance by [ORGANIZATION], Section 4. At [ORGANIZATION], [ORGANIZATION], [PERSON], hereby repeal Section 15904D4 and enact a new section for the purpose of exempting homeless shelters from paying fire protection system impact fees as follows. [DATE], Affordable Housing and [INSTITUTION] Exemption.",fayetteville
2024-01-05,unhoused,"yes, I will say, there are cases where people just aren't satisfied, and what they're really not satisfied about is there is nothing that can really be done. These are complaints that are valid, it's frustrated, it's not that the officer did anything wrong. For example, we have immediate ated a number of cases that have unhoused population. And some feeling frustrated about calling the police and unhoused folks are still there, something like that. It's more complicated so we can talk about that in the mediation but ultimately is the encampment outside of somebody's house gone at the end? No, it's not. So there have been cased like that where people are frustrated that the underlying issue is not resolved and sometimes those are larger policy issues that volve a lot of other agencies as well. That has been the case in many situations with the 7%. Otherwise, we can remember one scenario where the complaintant did not feel like the officer was, just didn't really feel the officer, not that he did do anything, but she didn't connect with him and she didn't feel like he was owning up to what he had done, that's rare but that's an example of something that happened.",san francisco
2023-07-07,unhoused,"if someone is having aing mental health and drug crisis and unhoused, what, what does this electric like to somebody? I think the public hears I want them to understand when how they can really access that. If --",san francisco
2024-12-06,unhoused,"And, you know, I also think about those who are unhoused. But is that really a proper working condition for our deputies to be sleeping in trailers in our parking lots? I, I was [ORGANIZATION] coming in to [INSTITUTION] and going through the metal detector, and I looked down at the deputy",san francisco
2023-02-03,homelessness,"the mayor's budget instructions recovery of local economy with focus on downtown and economic core. Improving public safety and [STREET] conscience. [PERSON] homelessness and transforming mental health service delivery. Accountability and equity in services in spending. Will achieve reductions through [ORGANIZATION]. The budget reflects budget of 1 147 thousand dollars for [ORGANIZATION]. Indicated on the previous slide. Describing positions the positions are needed in addition to the budgeted positions in order to provide necessary service to the community. Include being out reach, public information campaigns and increase accessibility. Meet charter man dates, investigate complaints, conduct hearings. Analyze data. Make policy recommendations. Perform audits. Of comply with department upon obligation. Public record's request. Report on the work. Prepare and advocate for the budget. And function as a department figure technology and supplies. Staff front desk field calls and e mills. We will [ORGANIZATION] to the learningest technology cost. Case management provide a cost savings to [LOCATION] when the funds needed for new staff [PERSON]. Infrastructure like computers. Conference room tech nochlg tv's web ex, phones and conference systems. These represent estimated on going expenses for the departments include licensing for sales base case misdemeanoring simples software. Cloud based storage and subscriptions. Estimates don't have additional prescriptions for service not obtained yet like evidence. Comfor cameras on native platform or performing online research. As discussed they near estimated for interdepartmental support. Not costs. Final costs for [ORGANIZATION] will not be determined [ORGANIZATION] I don't remember all city departments rely on others for support. The service providing diameters bill accordingly the costs will change subject to needs and how quickly the staff are on boarded, trin exclude operational to be able to take over work that relies on resource fist another department. We expect that cost for staffing and resources will decrease with the now departments ability to perform the work in house with staff members. If additional approximate suspicions are, proved this will increase. Training will have the most importance and highest costs [PERSON] with the new staff on boarded and trains. Tlaning is on line tuition can have thes we welcome suggestions and comments on this. This is upon tended for public comment and ideas. Impact of reduction. The original budget includes funds for personnel and infrastructure to mead mandates. Further reduction will extend the reliance on borrowed support and resource. Delay the ability to become operational. And impier pair to meet core requirements. Prevent from services from the community. This is the end of the presentation are there questions or know comments?",san francisco
2024-03-01,unhoused,"He was shot five times by [ORGANIZATION] when he was in mental health crisis. He was charged with resisting arrest, threatening an officer and carrying a knife. Um, and luckily, we were able to get the case dismissed before having to go to trial and noting the headlines here, the theme are are people who are unhoused being involved in the criminal system and how that is actually be, um, a kind of important fact to pair with that is that unhoused people are more likely to be victims of crime than they are to perpetrate crime, but they are much more likely to be criminalized and to be incarcerated.",san francisco
2024-02-02,homeless,"By giving our homeless people or adults needles and everything like we're supposed to do preventative work, not make it worse. Worse? Like my clients have used the billie holiday services.",san francisco
2024-12-06,homelessness,"Now. And until we can create our own cadre of people to deal with them, we're going to have to figure that out. And an inspector general would be great at being that buffer to be able to get them, to be able to deal with just an arm, just using one instance of something called homelessness.",san francisco
2024-12-06,homeless,"But look at it now. There are homeless people everywhere and law enforcement now, how do they deal with that? In [ORGANIZATION], I'm an old guy.",san francisco
2022-08-22,affordable housing,"thank you. PERSON0. PERSON1. I'm the executive director of :   Focused on work force development, education services as well as the designing and building of affordable housing, so I have been in [ORGANIZATION] over [ORGANIZATION] and had the opportunity to serve some of the most underserved communities in [ORGANIZATION]. Most notably on [ORGANIZATION] where I served [LOCATION] under the controller and most recent PERSON2 the [ORGANIZATION] police commissioner who served as liaison. A natural fit. I want to say thank you to the sheriff department coalescing and pulling us together. Chief has done a phenomenal job communicating with all of us and PERSON3. Looking forward what we can do together. I want to bring a community voice as we serve a lot of individuals just involved and continue to do soio want to continue to figure how to bridge the gap between what sogoing on in the jails and in the communities so we can all continue to live here together side by side.",san francisco
2024-03-01,unhoused,"Um, most of our clients suffer from mental illness or have are grappling with a substance use disorder issue issue. Um, the vast majority of our clients also are unhoused, and all of them are low income. Um, and noting that on the right here in this pie chart and this is something I think, um, is particularly egregious in [ORGANIZATION], but cuts across most counties in [ORGANIZATION], the overrepresentation of communities of color, um, and so about 75% of our clients are people of color and half of our clients are black, even though the black population makes up about 6% of [ORGANIZATION].",san francisco
2024-02-14,homelessness,"I am the new [ORGANIZATION] inspector general heading the offiof the inspector general, and as it was stated I'm here to present our proposed [ORGANIZATION] budget and I will start with telling you a little about [ORGANIZATION]. Basically, [ORGANIZATION] voters passed proposition d in [ORGANIZATION] establishing the [ORGANIZATION] first sheriff department oversight board, and that board proceeded to create the office of the inspector general and the whole purpose of the inspector general's office is provide independent oversight of the sheriff office. We have been assigned the government code or department code, sda to [ORGANIZATION]. The ORG2, roles and responsibilities are defined and [ORGANIZATION] charter section 4.137. then our oversight board appointed myself, [ORGANIZATION] as inspector general and on [LOCATION] we had a very beautiful administration of the oath by the legendary former mayor [PERSON] and [PERSON] which was created for oversight of the [ORGANIZATION] [INSTITUTION] continues to provide support of the ORG2 operation and assisting us with our independent investigations basically until we are fully staffed and up and running. Now, our role and responsibilities. We conduct the investigations of complaints filed against [ORGANIZATION] sheriff office employees and that includes the deputy sheriffs and their civilian employees and any third party contractors that they contract with. We also handle the investigations of any individual who dies while in the custody of the sheriff department. Additionally, once we conduct our investigations we also recommend disciplinary action to the sheriff. In terms of policies, what we are really looking to do is assist the sheriff department. We are also assisting with the development and recommending use of force policies for the sheriff department. We also look at the writing-reporting and auditing so we track and report on investigations, recommendations and outcomes and we monitor the sheriff office operations to insure compliance with the laws and policies. and we also conduct hearings. Most of those hearings roget right now are conducted by the oversight board but we have there authority to issue subpoena, administer oath, and take testimony. Now, our budget priorities. Well, our budget priorities are to recruit, hire, onboard and train staff because we are a new agency and so this is going to be one of our primary purposes getting the agency up and running. We also are tasked with developing policies and procedures, requesting positions to meet our charter mandate. And what do we need? We need investigators to investigate our sheriff office cases. We also need a senior investigator to investigate review investigations and manage the sheriff department cases. Basically the senior investigator will supervise the investigators that are conducting the individual investigations. We have a assistant chief attorney who's really responsible for helping process public records requests to review and support investigations before they come to my desk, draft agreements and just assist with the overall running of the office of the inspector general. And of course we have a executive secretary that in addition to many roles also processes payroll and purchasing and provide administrative support. what is the proposed budget for the [ORGANIZATION] budget? We are here [ORGANIZATION] to present that at this public meeting. When looking at the budget we first wanted to look at the mayor's budget instructions and so what is the primary focus of the mayor's budget for [PERSON] and one is to improve public safety and the [STREET] conditions of [ORGANIZATION]. To promote city wide economic vitality and that goes hand in hand with public safety and [STREET] conditions. Reduce homelessness and transform mental health services. Mental health service delivery and just increasing the overall accountability, equity and spending of the budget. Now, this last section is very important because we are in [PERSON], and so all departments of [ORGANIZATION] are being asked to reduce their general fund support by 10% and through [ORGANIZATION]-through [LOCATION], DATE8, with also a possible additional 5% contingency you [DATE] be asked to reduce your budget so we could be looking at most departments a 15% budget reduction. With that in mind and being a new agency, we understood is we will probably given the difficult budget cycle that we are in, we are going to have to do a phased growth of [ORGANIZATION], so instead of asking for everything that we need to be an agency up and running, we understand we will have to phase the growth of our agency. Right now we are-we looked at what is the basic amount of funding we need to get up and running? We propose 2 mill $22.163.632. We feel that request allows to bring in the number of employees to get up and running independently as a agency. Because we are being asked to take a 10% cut, that cut is reflected in the $353.080 will amount to the cut we are taking out of our budget, which would leave at the proposed $2.163.632. Now, for the number of employees, our basic proposed budget we have 13 employees, and with the 10% cut, we would lose one of those employees so it would leave us at 12 employees under the current request for funding. And so what does that 10% look like? I told we would lose one employee that would be a investigator and also our non personal service amount to about $40 thousand leaving total of $221 thousand that reflect in the 10% reduction. We also have work orders because we are not able to fully-we are not fully funded at this point because we are a new agency,b then we have to rely on [LOCATION] to support our agency-excuse me, [ORGANIZATION] to support our agency with technology that will come in the form of about $62 thousand. We also would need accounting service from the [ORGANIZATION] controller's office, $53 thousand and investigative and administrative support, $480 thousand, and because we don't have our own in-house hr department, the county is providing us the hr rep and that will amount to $147 thousand. Now, what is the-our proposed budget is where we are requesting the funding, but we understand we had to pull back in [ORGANIZATION]. We are proposing that we are not asking for any increases in materials and supplies. We are not asking for any increases in non-personnel services. And not asking for any increases in salaries and benefits. We are really trying to work within the scope of understanding that we are in a difficult budget time, but at the same time, asking for the minimum of what we need to get our agency up and running and as a result we'll be relying heavily on the [ORGANIZATION] to support us and that will be in the form of $747 thousand. That will allow us to operate as the office of the inspector general. What are the impact of the reductions? Because we are not able to be a fully operational agency at this point given the budget constrictions, what is the impact of those reductions? Well, the original budget did not include funds for central personnel and infrastructure to meet the charter mandates, so these reductions will extend our reliance on borrowed support from the [ORGANIZATION], it will delay our ability to become fully operations and impair our ability to meet our core requirements laid out by the charter, 4.137. And it will also prevent our office from adding services for the community. And with that, if there are any questions, I'm very open to answering questions or ts anyone [DATE] have. And if there are no questions and comment, I appreciate everybody who tuned into watch the presentation, and I believe that's it.",san francisco
2023-07-07,homeless,for the review. Yes we would. Upon public comment for item 3. Lineup or call the number and use the code on the screen. To me it does not make sense the people don't make sense what so ever. I think that was clear I listened. Does not make sense to me. You know when I'm saying it is clear as day to me it does not make sense I don't hear anything. I don't see or hear anything. What were the guys talking for [TIME] system jib are jabber that's when it is. Utter jib are jabber. He shot a guy in the badge he is hiding. What I want to tell you is why are you wasting people's time. Time why are you wasting time you are a prosecutor. I don't know you throw this information in the air somebody cares nobody cares here. What are you going to prosecute somebody for speak. What I want to tell you is there is stuff going on it ain't good whatever. I have been [ORGANIZATION] here in the elements I'm a homeless man and don't make sense to me at all,san francisco
2024-10-04,unhoused,"There is you know, there is a sense of community. You know, we're not talking about people who are just unhoused and having things. We're talking about people who are having pain, who are our neighbors that we are.",san francisco
2024-03-01,unhoused,"Um, you know, it's a prime piece of land, twin peaks. I'd like it to be a safe space for kids to go after school, to study, to have a safe, to have a nutritious meal, some kids never see another meal once they leave school or, you know, they or they're unhoused.",san francisco
02_12_2015,affordable housing,"Simple delays, be they [ORGANIZATION] or [LOCATION], have been a feeble solution. Demolitions of up to 370 affordable houses a year valued at $100 million dwarfs the city's efforts at spending $20 million to support affordable housing. Can we really achieve affordable housing through demolition?",portland
08_10_2016,unhoused,"Unhoused people living on [ORGANIZATION] have expressed to us that mass shelters, like the one that's proposed, are not appropriate for their needs, and the mass eviction of those communities is not going to solve this problem either. Compared to service agencies placing people in permanent housing and community-based solutions like FAC0 and FAC1, this proposed mass shelter is fiscally inefficient and uninformed by the perspectives of unhoused people. Many tenants in [ORGANIZATION] are just a rent hike, a no-cause eviction, a missed paycheck away from joining our unhoused neighbors outside.",portland
01_31_2018,homeless,"I'm a watchdog of [ORGANIZATION] on expanding your life expectancy, the [ORGANIZATION]. And if you begin to really understand...  providing the proper housing to people that are currently homeless, you can also be providing them additional [ORGANIZATION] of their life and you have to start calculating this out on the research that is being done from such as [ORGANIZATION] at [ORGANIZATION] on what you can actually do for the homeless communities on expanding their life as far as adding more [ORGANIZATION] from housing to health  to safety and understand that when the communities or the commissioners or anyone thinks that people living out on the streets is going to add more [ORGANIZATION] to their life, you have to start understanding that it is traumatic to them, it is stressful to them, it is unsafe to them, it is unhealthy to them. It is not having a concern for them if you think living outdoors is good for them and the longevity of their lives.",portland
01_07_2016,houseless,"You've got good policies in the plan, but we don't see design as a frill. Obviously, it creates beauty when it's done well, but thoughtful design also recognizes and creates opportunities for greater sustainability, better functionality, and the best use of limited resources.  whether it be for tiny houses, temporary shelter for our houseless neighbors, seamless compatible infill in our residential neighborhoods, or adaptive reuse and new growth along our commercial corridors. Design makes the difference in all those places.",portland
07_08_2020,affordable housing,"Authorized 17 subrecipient contracts totaling $5,062,200 for services in support of providing affordable housing to include emergency home repair, home ownership counseling and education, and renter services, including relocation assistance and education and advocacy. Colleagues, [ORGANIZATION] subrecipient contracts leverage city funding sources to help some of [ORGANIZATION]'s most effective nonprofit organizations provide the housing services our community needs the most. The services are provided to [ORGANIZATION]'s low to moderate income residents.",portland
11_19_2015,affordable housing,"The mixed-use proposal will reduce the capacity of the commercial zones. but except when a developer takes advantage of the bonuses and gets additional FAR and a partial fifth floor by providing affordable housing, among others, but mostly it's affordable housing. Unfortunately, I've discovered that this bonus is only available in inner neighborhoods.",portland
10_11_2017,homeless; homelessness,"And then under households experiencing homelessness or at a risk of becoming homeless, I've added a bullet that says youth [ORGANIZATION] from the foster care system. So I think we all know that. Cluster kids, they turn [LOCATION] and they are basically without any resources and too many of them end up on our streets, on our couches, or even more dire circumstances.",portland
01_07_2015,homeless,I want it focused on the suicide prevention aspect of this. We need to understand that a high percentage of homeless people that are heroin addicts do commit suicide. It goes down the list of meth addicts.,portland
12_13_2016,homelessness,"My name is [ORGANIZATION], and I am here to urge you to support the inflationary housing policy. This proposal will work to increase housing affordability while also reducing racial and economic segregation. I have faced homelessness in the past with my children, and I was very fortunate to be able to find a job that  that pays a living wage.",portland
01_18_2018,affordable housing,"In addition, I'd like to request reconsideration of [ORGANIZATION], referenced as CC-SW17 in [LOCATION]. As a building owner and resident of [ORGANIZATION], I certainly value the views of our beautiful scenic resources and quietly lament when they are blocked by construction around my home and my own office. However, I value transit-oriented affordable housing and jobs more than views, especially for views that are only available [ORGANIZATION] out of [DATE].",portland
01_13_2016,affordable housing,"Goal 5D, affordable housing. And 5E, high performance housing. Our little homes are very efficient and have a very minimal carbon footprint.",portland
08_10_2016,homeless,"the second part of that is goal 9 as a [ORGANIZATION] we struggled with meeting goal 9 and i know you did too through the comp plan and you raised the the cargo from low to medium in looking at that jobs category  Through the type three, you would need to prove that, again, in looking at how you're going to meet those jobs with an increased deficit. And so while I'm very supportive of doing something for the homeless, and I think that's a top priority, I encourage you to think about the long term.",portland
05_09_2018,homelessness; affordable housing,"we have listened here lots of technocrats speaking about technical sides of things of earthquakes and how buildings respond to the earthquakes but we do not, the city has not asked for the study or considered the study of what is going to happen to the people and what are the people's responses to  not just disaster, but to the conflict, because this is going to create conflict. And there is a conflict already in [ORGANIZATION] with rising rents, homelessness, non-affordable housing, and so forth. Conflict rises,  primarily from perceived or real inequality.",portland
05_16_2018,homeless; homelessness,"The item in front of us [ORGANIZATION] is to authorize $500,000 in funding to [ORGANIZATION] to acquire a new shelter, augmenting shelter capacity here in [ORGANIZATION]. This project will add to the available temporary housing options for families experiencing homelessness, serving homeless families at their most vulnerable. With us [ORGANIZATION] is, of course, [ORGANIZATION], who's the ORG1 Interim Director.",portland
03_21_2018,affordable housing,"So this package is trying to marry those two things as well. So we're taking the new codes, which didn't include inclusionary housing. They included some different forms of bonuses and incentives for affordable housing and marry them to the inclusionary housing package so that it all works well together in the long run moving forward.",portland
07_08_2015,affordable housing,"So these are all things that we take very much to heart, but we also know, we also recognize our limits. And [DATE] we'll be bringing an initiative to [ORGANIZATION] to leverage the private sector's additional help in exchange for privileges we grant to developers. We are going to ask in return that they include affordable housing in their developments.",portland
12_16_2015,affordable housing,"So putting the money into affordable housing would be a big departure from our current financial policies where we maintain a certain pool of investments based on certain criteria that are applied to the companies. Even if you could reach that same return, and that would be backed by certain investors to make sure you have that guaranteed return. PERSON0, this is really probably not the right [STREET] to have this discussion right now.",portland
03_14_2018,affordable housing,So the current owner of that affordable housing development is [ORGANIZATION]? Yes. But you said that the affordable housing was going to go away.,portland
12_13_2016,affordable housing,"And frankly, in the although [ORGANIZATION], the hotel developer, happens to be a housing developer, which is somewhat unique. To his credit, he can do both. But many private developers that are doing perhaps condos or not interested in doing affordable housing, they would ally most probably with a nonprofit partner to do the off-site housing on an adjacent site.",portland
05_16_2018,homeless; homelessness,"In our [ORGANIZATION], families with [TIME] eviction notices get help keeping their housing and preventing homelessness before it even starts. And we operate shelter programs with [ORGANIZATION] for eight families with children [TIME] the year, [PERSON] at ORG2 for 75 moms, dads, and kids during [ORGANIZATION], and [ORGANIZATION], which is the day center for both of the night programs. Over [LOCATION], we served 700 individuals.",portland
10_07_2015,housing crisis,and and it doesn't solve anything right now but it gives us the flexibility to do some things we couldn't do before and therefore it is a necessary precondition to doing some things we want to do and it is my sense going around the community that the number one issue facing our city and i hear this from everywhere i go in our city is the housing crisis and in [ORGANIZATION]  I could not have said that before.,portland
02_15_2017,homeless; homelessness,"Thank you. This allocation of funds was a part of the discussion around funds associated with the [ORGANIZATION] planning effort, specifically looking at legal services for individuals that were homeless or at risk of homelessness. And in the partition of the responsibilities between the city, the joint office, and the county, renter protections stayed with the city.",portland
08_03_2017,homelessness,"But then immediately seeing the homelessness here, knowing some of those people there are veterans as well. And then also seeing this environment that's related directly to this issue is actually fomenting the circumstances for extremism. and why that can't be resolved, why you can't find a [STREET] to actually meaningfully interact with the community in such a [STREET] that they are actually dictating, not dictating in terms, but setting the agenda for how they can actually protect themselves.",portland
10_18_2017,homeless,"For sharing your story. I know how nerve-wracking it is to come to this table and say anything, let alone something so personal. And it's just vitally important that we hear these stories and that the public hears these stories because I think that there is a –  pervasive belief that people who are chronically homeless, people who are experiencing mental illness or addiction, are lost causes, and you are proof that human beings aren't lost causes.",portland
01_29_2020,homelessness,"[ORGANIZATION], [PERSON], ORG2, [PERSON], the [LOCATION], the [ORGANIZATION], and ORG6. I've provided maps for the property and what I would suggest to you is that we floated these properties kind of in a group because all six of these properties are challenged in one [STREET] or another. Two of the properties have ground tanks on them.",portland
05_02_2018,affordable housing,"So we're giving the people who asked and not really considering those who didn't ask. I would say in this case, since we have an affirmative interest in getting churches to develop property with affordable housing that links the beloved community with the housing in a campus setting, I think for me this is distinguishable. And to be clear, the neighborhood is aware of this, whether or not some of the adjacent property owners are, whether all the adjacent properties are.",portland
07_08_2015,homeless,"Public safety means building trust, and for our homeless families, we really need [ORGANIZATION]-round shelter, a [STREET] that stays open and allows a father and a mother to put their kids' stuff down, to anchor them, a temporary base,  from which to transition to independent living. So there's a lot, really, to be happy about in the projections for spending. But we all need to work together to wisely make all of the inhabitants of our city feel like neighbors, like they belong.",portland
10_03_2018,homeless; housing crisis,"Two, declare a moratorium on sweeps of homeless camps. Until we can offer adequate alternatives, sweeping people from one part of the city to another part of the city is an expensive and harmful [STREET] to deal with the housing crisis. Number three, provide basic services for hygiene for people living on the [STREET], including restrooms, water, and garbage disposal.",portland
06_19_2019,affordable housing,"[ORGANIZATION] is [ORGANIZATION] at [ORGANIZATION], overseeing ground up and adaptive reuse projects for [ORGANIZATION]. Including commercial office developments and hospitality from sourcing all the [STREET] to completion. Ms. [PERSON] served as development manager for affordable housing projects utilizing low income housing tax credits.",portland
06_14_2017,homeless,Why are you sending a letter to him? He should be sending a letter to you saying what happened. You also are doing some good stuff with the homeless.,portland
07_29_2015,affordable housing,"But experience in our sister cities on [ORGANIZATION] shows that the market, as currently shaped and structured, cannot assure the broad supply of housing available to families of modest means and even middle incomes we need. Of course, we should do what we can to build new affordable housing. But even if we are far more successful than we have been in the past, permanently affordable housing will never supply more than 3 or 4 percent of our housing stock.",portland
09_04_2019,homeless,"And I could be accused of turning on homeless people if you're going to camp. Nowhere else but that [STREET]. If you want to keep it look like a Swiss [INSTITUTION], you've got to solve that problem.",portland
01_17_2018,homeless,"They're fining people for feeding homeless people because they think that that's the problem. It starts there, but it spreads to the whole community. DATE0 I took a little survey of five homeless people, and they all said the showers down at FAC0 is the number one [STREET] where they're able to take showers.",portland
11_03_2021,affordable housing,"First include a history of racial covenants as the reason for council to resize, demote, or remove a district's historic [STREET]  historic or conservation status. Do not allow communities to exclude building of more affordable housing if they have a history of segregation or exclusion. Second, allow historic resource review to reduce a building's height, FAR, or envelope by no more than 10%.",portland
12_21_2016,affordable housing,"And the foreclosure process, I went through a foreclosure process. I know what that's like, and it's not fun. And when you talk affordable housing, and when [ORGANIZATION] says, Commissioner [PERSON], excuse me, says everybody is going to get housing.",portland
03_09_2016,affordable housing,"And then I also wanted to just get on the record that we will have a report back to [ORGANIZATION] in [ORGANIZATION] or in the end of [ORGANIZATION] about how this works. experiment went. And we will also, [ORGANIZATION] will require that all applicants who wish to participate in this type 2X process have a signed agreement with [ORGANIZATION] that outlines their responsibilities under the regulatory agreements to provide actual affordable housing.",portland
10_02_2019,affordable housing,"This is actually the frame as to why we're doing all the stuff that we're doing. So I think it may be a missed opportunity for those who are here [ORGANIZATION] that we're not setting the context for why are we doing this. Yes, well we certainly through [ORGANIZATION], we are addressing some of the inequities that we're seeing in the city from this history, particularly looking at affordable housing option and providing more opportunities and different additional units and developments in the multifamily zones.",portland
02_10_2016,homelessness,"[ORGANIZATION] is co-sponsored by [ORGANIZATION] and ORG2, I hope I pronounced that correctly, the nonprofit housing development arm of [ORGANIZATION]. The development will focus a portion of its housing on families at risk of homelessness and fleeing domestic violence. The development is on the city block located at [ORGANIZATION] and FAC1 on land formerly owned by the Catholic parish of FAC2, the former site of [PERSON], a parish that is well known for its commitment to the less fortunate of our city through its DATE0 feeding program,  And most recently, they stepped up when the community needed them to provide emergency shelter during severe DATE1 weather.",portland
11_14_2018,homelessness,"You know, maybe it'd be a good idea to expand their mission to include humans. I would think they would do a little bit better job with homelessness. Well, congratulations.",portland
05_03_2017,homeless,"And I think someone was, like,  One of the cops were putting tear gas everywhere, and I saw them running after homeless people and stuff and trying to hurt them. How did you feel? I felt scared, and I don't like the cops.",portland
05_23_2019,housing crisis,"Tenants make up nearly half of our population. We're in the midst of a housing crisis. It's important that we get this office beyond up and running and to fully functional in order to advance the work we want to, continued work we want to do around tenant protection and housing.",portland
11_29_2017,affordable housing,"Very good. I would definitely agree with you on that particular project and looking at some of the record behind it. And also, it's an example of how...  public and private sector can engage in projects that increase the opportunity for affordable housing within the inner city of [ORGANIZATION].",portland
11_25_2015,affordable housing,"And then there's another final piece of this is that subsequent housing development does not qualify as affordable housing. The director shall determine that the demolition tax assessment is due and payable. PERSON0, the virtue of Commissioner [PERSON]'s amendment was it's very straightforward and clear.",portland
02_20_2019,homelessness,"Good morning.  for the record, and the fresh person clerk, [ORGANIZATION], as the former state treasurer had to sometimes also listen to in [ORGANIZATION]. I want to thank Commissioner [PERSON] for her question because it's, I think, illuminating for us as citizens, even those of us that engaged for [ORGANIZATION] with the city government, that if we want $50,000 to help with homelessness, we might have to have an agenda item. But the [STREET] that SDCs are structured...  is we have $2 million of slushy money, so we might be able to access $2 million of slush money for a traffic light, or maybe there's $4 million of slush money for a roundabout.",portland
01_07_2015,houseless,"We need people on the ground engaging people where they are. That means where houseless people are, where grassroots African-American youth are hanging out. And I love Judge [PERSON], but I don't think he's a grassroots outreach person.",portland
08_30_2017,affordable housing,"Do you have anything additional to say about that? Because it certainly, if there is a conflict, and I don't think it is an either-or question, that's something that we need to resolve because chances are where we're building affordable housing, we have a deficient urban canopy to begin with. Any thoughts on that?",portland
11_09_2016,affordable housing,I'm with [ORGANIZATION]. We're a statewide association of affordable housing and community development nonprofits with 20 members here in the [ORGANIZATION] area. I'm here to express our strong support for this proposal.,portland
10_12_2016,homeless; homelessness; housing crisis,"Should you approve this proposal, [ORGANIZATION] looks forward to working with ORG1 to realize the potential of these funds to, one, strengthen the voices of people with lived experience of the housing crisis in our community's efforts to address homelessness. Two, to bring forward community-based policy innovation that will improve our response to the housing crisis. And three, to improve the community's understanding of the important work that is already happening through a home for everyone partners, including the city of [ORGANIZATION] and [PERSON].",portland
08_10_2016,homeless,"This is why the county's efforts opening shelter at FAC0 in [ORGANIZATION] and the 100-bed family shelter on the [ORGANIZATION]-Gresham border are so important. I've reviewed the list of sites the city has developed as possible shelter sites, and it appears that many sites have been excluded for the same criteria that would eliminate FAC1. I ask why?  I appreciate the challenge the city has in working through the multitude of objections virtually any proposed shelter site will encounter, but I encourage council to reexamine the list of your sites and select options which do not expose our vulnerable community members to the significant hazards at FAC1 and deliver safe shelter and services to locations where our homeless already live.",portland
02_13_2019,homeless,"These parties, as I see it, could become social service fairs at which homeless individuals will connect with each other and important resources in a fun, safe, and pro-social manner. Finally, [ORGANIZATION] has begun reaching out to local leaders, shelters, transitional housing providers, churches, soup kitchens, needle exchanges, [STREET] organizations, neighborhood associations, and ad hoc camping communities as we work to identify and prepare to count every homeless person in the region. We're working hard on a formal proposal, and [ORGANIZATION] I'll be traveling to [ORGANIZATION], where I hope to meet with [ORGANIZATION] Manager [PERSON] and other representatives from ORG2.",portland
05_16_2017,affordable housing,"And what [ORGANIZATION] said to me, let's work together, and this is what I like to hear from developers, let's work together, let's see what, if we need some type of tax break to make it happen, if we need it, and these are the type of projects I would push forward every dime we can get our hands on to keep  affordable housing in the city of [ORGANIZATION]. Thank you, Mr. [PERSON]. Thank you for your support on that.",buffalo
03_17_2020,affordable housing,"In addition, a novel aspect that has been included, that there was a commitment by the developer  to have 20% of the rental units affordable to individuals earning no more than 80% of the area median income we have created both an enforcement and a monitoring mechanism in this agreement which has us monitoring those units that are not paid for through traditional means of affordable housing finance so if there is a privately financed unit that is a  Uh, um, uh, uh, uh,  that unit does not have the standard requirements of monitoring that comes with federal and state funds, [ORGANIZATION] will be able to monitor that unit and there will also be penalties associated with that if they do not meet that. So that is novel that is in this.",buffalo
09_15_2020,affordable housing,"Thank you Mr. [PERSON]. and of course uh [ORGANIZATION] if it wasn't for [ORGANIZATION] a lot of people would not have affordable housing and it wouldn't be generated within our community um because [ORGANIZATION] works very hard with community groups so we're praying for her hearing another we continue to remember um  the men and women who may have given their life for the freedom of our country and others since our last meeting, and all of the names that have been called, we pause for a moment of silence. Thank you.",buffalo
11_14_2023,affordable housing,"Miscellaneous item number 66, affordable housing task force [ORGANIZATION] report. Motion to send to legislation. [ORGANIZATION] legislation seconded by ORG1 Member [PERSON].",buffalo
11_14_2016,affordable housing,"What are we going to do about making more affordable housing? She was crying literally that she had nowhere to go with five kids. We need to step up and actually build more affordable housing, inclusionary zoning, so that people can actually have a [STREET] to live that is actually nice.",buffalo
01_16_2018,homeless,"I'm going to touch base with them very quickly. As far as the housing for homeless youth, here in [ORGANIZATION] we have a large population of runaway teenagers. I don't have to go too deep into that, we know.",buffalo
11_26_2024,homeless,"You're very welcome. I just want to thank [ORGANIZATION] in general. I mean, we've been in existence for [ORGANIZATION], and I believe [ORGANIZATION] and all of you wonderful people here have always supported [ORGANIZATION] and all of our programs, and I just thank all of you for helping the runaway and homeless youth of [PERSON].",buffalo
06_27_2017,affordable housing,"I mean, they're coming into [ORGANIZATION] almost every meeting to show us future development. And the good thing about it, some of those developments are even showing us where affordable housing is working. And that is something we should also speak about, that we have developers that have come before us.",buffalo
04_16_2019,affordable housing,"After talking to Mr. [PERSON] for [TIME], You know, I was inclined, I had a lot of questions about this, but after conversation with him, I will vote for this, the affordable housing component. There's a, the city owns a parking garage that we're going to sell to them. That this is not a tax break of any kind that has never come before us at this point.",buffalo
03_30_2021,homeless,"But because of some internal issues, we didn't get it filed, but it is here now. I want to thank all the residents who stood up and got involved because there was something happening that [ORGANIZATION] was putting a facility for  children, homeless youth in their district. And some people on the surface might think that, why are we fighting against that?",buffalo
