date,matched_words,Deidentified_paragraph,city
05_23_2018,homeless; homelessness,"We know that expanding our efforts to keep people from becoming homeless is a critical component of our broader efforts to end homelessness in our community. When we can intervene to prevent eviction, it limits devastating disruptions that families experience when they're displaced or experience homelessness. Preventing eviction enables families to maintain connections at school and at work and in their social networks.",portland
05_23_2018,homelessness,"And we know that it's less expensive than finding new housing once a family is forced into homelessness. We look forward to building this partnership over [ORGANIZATION], working with [ORGANIZATION] and our agency partners to integrate this critical new resource into the existing straw service infrastructure. And we greatly value the leadership of [ORGANIZATION], Commissioner [PERSON], and this council in identifying strategies to protect the most vulnerable utilizers of our public utilities.",portland
05_23_2018,homelessness,"If I had one extra dollar [DATE] left from the budget, I would put it into straw because we've seen the results in preventing people from losing their tenancy, preventing people from falling into homelessness, or rapidly rehousing people, as you've noted. So it's a great program, and we look forward to the partnership. Mayor, I have two other invited guests to bring forward.",portland
05_23_2018,homelessness,"There are many things I love about [ORGANIZATION], but what makes [ORGANIZATION] unique, what sets us apart from other major cities, is our city's ability to take on difficult issues and find innovative solutions. Living wage ordinances, ban the box, investing in our infrastructure, and most recently, I have watched you grapple with homelessness. And [ORGANIZATION]...  You're bringing forward three resolutions that takes on the difficult issues of the evolving [ORGANIZATION] industry.",portland
05_23_2018,homelessness,"Our earnings are erratic and often fall below minimum wage after driver expenses. And between high insurance deductibles, driver safety, and many other issues, the liability and risks that we assume as drivers is significant. These risks can push us into poverty or homelessness in the event of a catastrophic event such as an accident.",portland
05_23_2018,homeless,"You know, we all love each other and do things to help each other. We also are owner-operated, and it started out with the vets from World War II, you know, forming this company. And now we have drivers that are homeless.",portland
05_23_2018,houseless,"My commitment is to...  bring forward effective communication skills to help people have healthier relationships in their lives. The first time I made this jump, soon after I moved to [ORGANIZATION], I fell flat on my face. I ended up houseless.",portland
05_23_2018,houseless,"I was a very privileged houseless person in that I had a minivan, right? I had friends who looked out for me. But outside of that, right now, [ORGANIZATION] is how I am making my life work in terms of having the foundations covered so that [STREET] I can then be the entrepreneur that I need to be, be available for my clients that I'm slowly building, and working.  doing the work that I am here to do in this world and it is my life's demand.",portland
05_23_2018,houseless,"And for me, that's terrifying because I do not wanna end up houseless again. And I have to, once I turned [ORGANIZATION], none of my birthdays really had an impact, but when I turned [ORGANIZATION], I was like, it's now or not. I have to bring my gifts forward.",portland
04_27_2016,homelessness,"If not, then it comes back [ORGANIZATION] in second reading with your follow-up, please. Now let's move on to [LOCATION]. Amend contracts with [ORGANIZATION], [PERSON], ORG2, and ORG3 to add $842,500 in rent assistance for people experiencing homelessness.",portland
04_27_2016,homeless; homelessness,"These funds are  will rapidly expand our providers' resource capacity to assist with permanent housing placement for people experiencing homelessness and eviction prevention for people at imminent risk of becoming homeless. [ORGANIZATION] has already obligated a significant portion of this to our nonprofit service providers under current contracting authority. The ordinance before us now authorizes [PERSON] to dedicate the remainder of this $1 million to fund four high-performing organizations, nonprofits, including ORG2, [PERSON], [LOCATION], and [ORGANIZATION] for immediate use.",portland
04_27_2016,homeless; homelessness,"These funds are a critical component of our safety net, and they will go towards supporting permanent housing placement for more than 150 people currently experiencing homelessness and preventing more than 125 others from becoming homeless. Thank you, and I urge your support. Thank you very much.",portland
04_27_2016,homeless,"My name is [ORGANIZATION]. I'm with [ORGANIZATION], and I deal with the homeless a lot. And I'm all for a program to house the homeless.",portland
04_27_2016,homeless,"The thing is, I would like to... It seems like joining all these organizations have received a lot of money in [ORGANIZATION], and I'd actually like to see where that money's going to. How, you know, is it going to actually house...  150 homeless or is it going to go into some director's pocket?",portland
04_27_2016,homeless,Thanks. So this is money that's going out the door through those organizations to actual rent assistance to people that need it. So most of the money is actually going directly to pay rent for people that are vulnerable to becoming homeless.,portland
04_27_2016,homelessness; affordable housing,"I don't want to repeat all the concerns, so let me just add the concern of subsidized housing units that  that are at risk because of this rezoning. There are several units of subsidized housing in [ORGANIZATION] that are right in the rezoning area that I feel may be lost by any new development that would come in. And at a time when homelessness and affordable housing are such concerns, I would hate to see even more residents of this rich and diverse neighborhood displaced.",portland
04_27_2016,affordable housing,"It actually supports your goal of affordable housing improvement. Secondly, we appreciate the policy amendment to policy 6.457. I think that encourages collaboration between the neighbor groups and [ORGANIZATION].",portland
04_27_2016,affordable housing,"Yeah. It's all commercial, and in fact, it's not at all. There's many, many residences in there, and it remains a [STREET] of affordable housing options, and we hope that it can change, and then when it develops out, it'll be able to develop in situations that are not just studio apartments.",portland
04_27_2016,affordable housing,"[ORGANIZATION] recently published a set of affordable housing recommendations that includes revising [ORGANIZATION]'s zoning code and zoning map to allow for more missing middle housing types in the city's residential neighborhoods. In many ways, proximity has become the equivalent of opportunity in our city. The closer you are to good schools, active parks, and well-paying jobs, the greater your chances for success.",portland
04_27_2016,affordable housing,"As such, the discussion about affordable housing can't just be about how much housing we have, but where that housing is located. Recent research shows that kids from poor families who lived in mixed-income neighborhoods do better in school and earn more money over their lifetimes than kids who live in neighborhoods of concentrated poverty. At the same time, kids from more affluent families acquire social and emotional skills like curiosity, collaboration, and empathy that help them succeed later in life.",portland
04_27_2016,affordable housing,"The benefits extend to the entire region, allowing a diversity of housing types in our neighborhoods will promote affordability, make our community more walkable, and reduce carbon emissions. And by reducing the need for people to commute long distances from places where housing costs less, mixed-income neighborhoods can reduce traffic congestion and improve movement of freight throughout the region. And the best part about revising the zoning code is that unlike the vast majority of other affordable housing solutions, it doesn't cost a dime.",portland
04_27_2016,housing crisis,"This is just one of many reasons that we're supporting [ORGANIZATION] and their support on amendments and measures including opposing down zones and high opportunity neighborhoods. We're committed to addressing the housing crisis and ensuring that our green city is affordable for all [ORGANIZATION]ers. I'd like to close by thanking Mayor [PERSON] for proposing these amendments and [PERSON] and others at [ORGANIZATION] for their work on policies to reduce carbon emissions, limit fossil fuel infrastructure, reduce local demand for fossil fuels, and build a robust clean energy economy in [ORGANIZATION].",portland
04_27_2016,affordable housing,"We support [ORGANIZATION], elimination of proposed comprehensive plan change 92. changing zoning on a half-block area to R1. These properties, a 10-unit apartment building, [ORGANIZATION], a duplex, and a quadruplex provide affordable housing.",portland
04_27_2016,affordable housing,"[ORGANIZATION] needs to develop a [ORGANIZATION] mix of economic inducements, incentives, and requirements to engage the housing industry in providing for affordable housing. Lastly, I request, and this is my personal request to protect my own investment in solar panels, I request that [ORGANIZATION] develop a policy protecting existing homeowners' right to sunlight. The policy and implementing codes should affect all forms of new housing in moderate and low-density residential zones, the existing zones.",portland
04_27_2016,homeless,"So you have the huge amount of homeless, of course, but then there's, I think, a huge number of people, I don't know how many, but in my own personal acquaintance, which is actually quite small, um,  a lot of people are under housed. And so they're not on the radar screen of being homeless. Because they're in a temporary of substandard or transitional or couch surfing or living in a garage or having to move [TIME] away from work and school and community and so forth.",portland
04_27_2016,homeless,"I'm [PERSON], and I am homeless. [PERSON], I will turn [LOCATION]. I'm in the [ORGANIZATION] neighborhood.",portland
04_27_2016,homeless,"And I've met other...  people who are also seniors that are homeless on the [STREET]. Not all of us out there are into the drug scene, are alcoholics, but we are definitely homeless. I've met veterans.",portland
04_27_2016,homeless,"I met one in a wheelchair, shot up in [ORGANIZATION] who can't even get the medical help he needs, and he's homeless in a wheelchair. Something is terribly wrong in the [PERSON]. Thank you for being here.",portland
04_27_2016,homeless,"And then we tore down all the interesting houses and buildings for nothing. And then the third point they wanted me to offer for your consideration was,  If we take all the industrial land for housing all the new people that are coming up here, won't we have more homeless? Because no industry-type jobs like welders that pay well for people who are different learners – I can't tell what schools – I went to a [ORGANIZATION] school – for people who are different learners –  So they didn't go to a regular type college but still want to support a family.",portland
03_01_2017,homelessness,"We here cannot control the present deconstruction of our nation's long-lived native ideologies, even as we witness them [ORGANIZATION]. but with careful thought and prudent actions we can minimize their local effects of which homelessness is a vital one i simply wish to close by saying we are playing a new game with new rules and that we must think anew and act anew those were the remarks of a pretty good republican president at one time and he concluded by saying We must disenthrall ourselves",portland
03_01_2017,homeless,"or some homeless [STREET] kid. He was a funny, adventurous teen who, like most kids, at times can be a little rebellious. He was my child.",portland
03_01_2017,homeless,"And actually, it doesn't make it an independent review. If you're going to give $15,000 for the homeless, give it to [ORGANIZATION] and his housing bureau and don't have somebody do anything that naturally will do things. And also, as a [ORGANIZATION] is not necessarily qualified, it's a school.",portland
03_01_2017,affordable housing,"Questions? Yes, sir. Mr. [PERSON], I think when this was originally filed, an affordable housing impact statement was not part of the submission.",portland
03_01_2017,homelessness,"maybe even an entry-level police officer. But the challenge that we continue to face is we have people in shelters and on the [STREET] and thousands of people and while this housing fills a need in the community and serves a purpose, it is not actually addressing the most acute crisis that we're experiencing, which is homelessness. and its related challenges.",portland
03_14_2018,homeless,"A rather too common occurrence in my life. But when the police swiftly appear at my house, case the [STREET], and assure me it's safe after I returned home [TIME] to find my door ajar, or when I witness them with much care and patience handling a woman in a cafe with a severe mental breakdown, when I enjoy their friendly, supportive attitude at [ORGANIZATION],  When my friend tells me [TIME] a cop stopped him because he was driving a [ORGANIZATION] bus with one headlight, no taillights, no tags, no driver's license, and a bag of weed on the seat, the cop just started laughing, told him to go straight home and fix all that, excuse my language, shit [ORGANIZATION]. Or, when a police officer comes upon an abandoned van, searches for the owner and through his friends, finds a homeless man in a vacant building with his dogs, takes him to the van, helps him walk the dogs for several blocks, then returns DATE1 to follow up and make sure the man was okay and the dogs were okay, when police commit acts of courage and kindness, then gee, I'm bursting with gratitude.",portland
03_14_2018,homelessness,"It looks like you've lived all over the world. And I'm impressed with your work, particularly around poverty and housing instability and homelessness. That's obviously front and center here in the city.",portland
03_14_2018,homeless; houseless,How do you think you can bring those skills to bear as a member of the [ORGANIZATION]? What do you hope to accomplish or what perspective do you hope to provide? So I've worked in the field of homeless and houseless services for [ORGANIZATION].,portland
03_14_2018,homeless; houseless,"And I think that that's a perspective that's largely left out of the main conversation because when you're homeless or houseless, you don't have the bandwidth necessarily to participate and you're not necessarily believed. And so I think having that experience will help bring those voices front and center. Very good.",portland
03_14_2018,homelessness,"And as you know, I happen to be the police commissioner in addition to mayor, as luck would have it. and there are a lot of issues with homelessness and making sure that we are acting appropriately and accountably, and I think the [ORGANIZATION] does a great job of holding our feet to the fire to make sure that we do. So I think that's a useful experience to be bringing to the commission at this particular time.",portland
03_14_2018,affordable housing,"Approve interim use of the multiple unit limited tax exemption program to capture opportunities for affordable housing in housing developments not subject to inclusionary housing and amend administrative rules. Colleagues, [ORGANIZATION] we're taking up a plan that addresses the projects that were in the pipeline before the inclusionary housing initiative. program was enacted.",portland
03_14_2018,affordable housing,"We have an affordability crisis here in [ORGANIZATION]. We have declared a housing emergency, and that's why [ORGANIZATION]  enacted inclusionary housing requirements in the first [STREET]. DATE0 we're taking up this program for the projects that are not required to build affordable housing.",portland
03_14_2018,housing crisis,"This is not an academic question. We're in a housing crisis, and the need exists now, and the public expects us to act now. The multiple unit limited tax exemption, or multi, is a proven tool that we can use to reach back into the pipeline of housing projects, projects that are moving through the system as we speak, projects that are going to be built, and make sure that some of those units become affordable units.",portland
03_14_2018,housing crisis; affordable housing,"Not doing anything means that all of the units will be brought onto the market at prevailing market rates.  Not doing anything means we lose an opportunity to ensure that we're taking the housing crisis seriously. With the ordinance before you, I propose we use [ORGANIZATION] to incentivize those building housing in [ORGANIZATION] to include affordable housing in those projects. The program includes sensible safeguards.",portland
03_14_2018,affordable housing,"Four were for buildings that had a [ORGANIZATION] tax exemption of over $500,000. And four were partially affordable housing projects that had some market rate residential. So it wouldn't have been a good comparison.",portland
03_14_2018,affordable housing,"And so that's what [ORGANIZATION] has pulled out, is projects that have a larger number of affordable units and I'm likely to be a for-profit developer who is developing affordable housing. I know that's... We'll keep going.",portland
03_14_2018,affordable housing,"Love what you're trying to do to create some [ORGANIZATION], bring people into the – create some affordable housing with units that are – beat the deadline. but aren't quite sure whether the abatement should cover all the units or just the affordable units? What's, from your point of view, the most compelling argument to make it apply to all the units and not just the affordable units?",portland
03_14_2018,housing crisis,"Now, I'm willing to use whatever diplomatic skills and call in on friendships and everything else I can at the county to get their support. But, frankly, I would hope that they would enthusiastically embrace a project like this and tools like this to get some immediate help for people who are lower income in the middle of a housing crisis. So, Mayor, I've been on this body for too long, and so I'm just going to offer just a slight rebuttal.",portland
03_14_2018,affordable housing,"Commissioner [PERSON]. Thank you, [PERSON]. [PERSON] is second to nobody in her history of working for affordable housing.",portland
03_14_2018,housing crisis,"There are proponents of density and development who want us to believe that our housing crisis is just a simple question of supply and demand, which is false. Because when you have a gross product mismatch between what is being supplied at $120, which is above the median income,  And the demand, which is below 100 median family income, it doesn't – we may see softening at the top of the market. And, in fact, we see fairly high vacancy at the top of the market.",portland
03_14_2018,affordable housing,"It's tough to perhaps nearly impossible to build at 60% to 80% right now, given just the cost of land and the expense of construction. So I think anything we can do within reason to help them deliver the housing we actually need is worthwhile. And finally, I would like to add that I also am very interested in  the possibility of bumping affordable housing developments in the private market ahead in the queue as an additional incentive.",portland
03_14_2018,affordable housing,"The whole concept, the idea that all the affordable housing is in one building.  rather than scattered throughout buildings all throughout the city. I really, really can't say enough about that concept. And, you know, the affordable units or subsidized, whatever you want to call the units in a building that has market rate units,  they have the opportunity to do things such as not put in granite countertops and stainless steel appliances and hardwood floors and things like that and make these units so that their maintenance and their upkeep and the cost of just constructing them within this space  that's going to be market rate, there's a lot of things that they can do.",portland
03_14_2018,affordable housing,"You know, oftentimes when we've had conversations here about the affordable housing buildings all throughout FAC0, the comment I often hear is, and you can't tell from the outside that it's affordable housing. Well, you can tell from the inside. Right.",portland
03_14_2018,affordable housing,"I'm reading all of your minds. Get to the bottom of this. If I could just quickly add that my office is in conversation with private developers who are vested in the queue, who are very interested in incentives for affordable housing.",portland
03_14_2018,affordable housing,"These are not very exciting, but they definitely include a lot of split-zone sites, cleanup of our overlays, finding new non-conforming commercial sites,  And a lot of [ORGANIZATION]-coordinated map changes, so we've been working with [ORGANIZATION] of Environmental Services, the Housing [ORGANIZATION], and [ORGANIZATION] to incorporate some recent acquisitions that those bureaus have made. And then also in this group, there is a concerted effort to coordinate with our affordable housing providers. I have mentioned the Portland Housing [ORGANIZATION], but that also includes [ORGANIZATION], ORG6, ORG7, [ORGANIZATION], ORG9, and others.",portland
03_14_2018,affordable housing,"DATE0, the property owner of [ORGANIZATION] asked [ORGANIZATION] to further upzone their property to ORG1. It's a small residential lot. And convinced ORG2, who has FAC1, an affordable housing complex there called FAC2, to come along with that.",portland
03_14_2018,affordable housing,"[ORGANIZATION] has [ORGANIZATION] reconsidered. [ORGANIZATION]'s own staff recommended to ORG2 that keeping with the original CM2 designation was the best idea, but ORG2 decided to move forward with the CM3 zoning anyway. ORG3, which operates the affordable housing on FAC0, has told [ORGANIZATION] that they can only afford to build the CM2 size and were fine with the original designation.",portland
03_14_2018,affordable housing,"The property is owned by [ORGANIZATION] and adjacent to our worship facilities and parking lot. The lot is also an environmental conservation overlay zone, which limits how it can be developed. [ORGANIZATION] is in discussions with [ORGANIZATION] to sell the parcel at a discounted price to allow for the development of affordable housing as a part of the ministry of [ORGANIZATION] Bible Church and the mission of [ORGANIZATION].",portland
03_14_2018,affordable housing,"The change meets the [DATE] Comprehensive Plan Goal of affordable housing development in areas with close proximity to transit services and amenities. It also meets the anti-displacement goals and the goal of helping to close the minority homeownership gap. The site is within a half mile of [ORGANIZATION], and FAC1.",portland
03_14_2018,affordable housing,"Yeah, please. We have a package before us of upzoning some affordable housing developments, and the theory there is we want to give people the ability to serve even more people. You are proposing to partner with [ORGANIZATION] to build on your footprint, correct?",portland
03_14_2018,affordable housing,"The church was also the previous owner of that property and sold it to [ORGANIZATION] at a discount so that we could provide homeownership opportunities to low-income working families. In fact, Mayor [PERSON], you may remember speaking at the key ceremony [ORGANIZATION] when we were selling those seven homes. The church is again willing to consider selling property to [ORGANIZATION] at a discounted price, which is very exciting given the challenges affordable housing developers face in finding property in [LOCATION]'s housing market.",portland
03_14_2018,affordable housing,"That would help provide more than 100 people with stable, affordable housing in a neighborhood with great schools, access to transit, and nearby amenities. So was this amendment heard by [ORGANIZATION]? No. I just want to personally thank you, [PERSON], for really being a true community-facing church.",portland
03_14_2018,affordable housing,They thought that that could be possibly student housing and also more affordable housing for anybody that lives in this area. So we really appreciate your consideration on this. They plan on staying here.,portland
03_14_2018,affordable housing,"And the reason that's important, we didn't realize this was all happening until we were looking into actually how we're going to restore our building. Yeah. We are presently in the process of developing 120 units of affordable housing for our workforce to try and really target low-wage workers in our campus on FAC0 between FAC1 and FAC2.",portland
03_14_2018,affordable housing,"And so we would love to have the opportunity to actually consider developing this property in the future to increase the stock of affordable housing for workforce folks in our community. We would respectfully hope you'll support the commissioner's. So, colleagues, I'm new to this conversation, and some people that we respect really highly regarding the community have started to think about this.",portland
03_14_2018,affordable housing,"And the concept that really has drawn me in is that we have nonprofit providers in our community that are land rich and are currently having trouble recruiting people for certain positions because of the housing market. And the idea that [ORGANIZATION] and others are thinking about is what if we leveraged the land on our campus  to build affordable housing so that we were able to offer someone not just a job but a [STREET] to live that's also conveniently located. There are a multitude of nonprofit entities that are in the same situation where they're competing for a workforce that's being pushed out of the community that are rich in land, and it seemed to me that it's –  a very big discussion that we ought to start engaging.",portland
03_14_2018,affordable housing,"There are six [ORGANIZATION] churches that gave me their property addresses. And so with the partnership with [ORGANIZATION], we are looking at all of these parcels and looking at what we think we could actually develop in terms of the numbers of units.  of affordable housing and essentially use our land that we own outright as equity to put into the deals and then figure out how to use a combination of low-income tax credits and traditional financing and then find equity financing that would enable us to bridge that gap to build really targeted workforce housing. By the [STREET], just one last comment.",portland
03_14_2018,affordable housing,"Mayor, commissioners, thanks for the opportunity to be here [ORGANIZATION]. I'm [PERSON] with [ORGANIZATION]. We are affordable housing developers.",portland
03_14_2018,affordable housing,So the current owner of that affordable housing development is [ORGANIZATION]? Yes. But you said that the affordable housing was going to go away.,portland
03_14_2018,affordable housing,"Now the city proposes to rezone the house across the [STREET], which also has as its neighbor an apartment complex, which for [ORGANIZATION] I've seen no one except ethnic minorities and single mothers live in. And between that and the rent law proposals, it seems the city proposes to make it safer for single homeowners to [ORGANIZATION] rather than rent rooms, while simultaneously sacrificing affordable Section 8 and affordable housing to developers one building at a time, reflecting on what she said earlier. Okay.",portland
03_14_2018,affordable housing,"I've spent my whole career just about in housing development and affordable housing development, and I'm very keen to that issue. The benefit of the zone change that we're proposing on the half block across the [STREET] is that we're currently parked on two other lots that [ORGANIZATION] owns to the west and to the south that are quarter blocks that are also zoned RH. And those are jammed parking on [ORGANIZATION] [TIME].",portland
03_14_2018,affordable housing,tall uh we welcome redevelopment we think that the school probably is not safe especially for children so we're looking forward to redevelopment and we especially welcome affordable housing it's a great site with schools and good transit so it's going to be an asset we're also appreciative of the fact that the city is the developer with non-profits we hope for much better development than we'd see with a for-profit developer quite frankly  We're [ADDRESS].,portland
03_14_2018,affordable housing,"Oh, I just have one more thing. I wanted to thank everyone that came to testify [ORGANIZATION] because it was a really pleasant...  and very informative and I just appreciate how thoughtful everyone was and I didn't hear anyone really kind of advocating strictly for their own benefit. There was just a lot of recognition of community benefit and need for affordable housing and...  It's just really appreciated.",portland
05_18_2016,homeless,"I was born in [ORGANIZATION], [PERSON], and I live here. I was homeless [ORGANIZATION]. Anyway, I'd like to brag that I'm kind of a prophet now.",portland
05_18_2016,homeless,"We've created it with a crazy real estate market. People need to have rent stabilization. Some people have no other hope.  of not becoming homeless other than to have the government say, you know, if your property taxes went up zero and everything else about your property went up zero, at this time we can't have you kick your tenants out so that you can increase the rent 40%.",portland
05_18_2016,homeless,"Okay, item 509, please. Request of [ORGANIZATION] to address council regarding improving the homeless situation. PERSON1, you hear?",portland
05_18_2016,homeless,"It does a lot of good things, but what it doesn't do is make sure that we reverse the decline of the workforce in [ORGANIZATION]. The other thing it doesn't do is create a new [STREET] for dealing with people who are homeless on our streets other than either ignoring the problem or arresting them. And the need for a diversion program is real.",portland
05_18_2016,homeless,"Secondly, [ORGANIZATION] in particular is literally on the front lines in our effort  to try to stem gang violence. Unfortunately, we had an incident not long ago in which four young people were shot and wounded inside the [INSTITUTION], I think highlighting how serious the situation is there and the need. Meanwhile, [ORGANIZATION] has opened a family [INSTITUTION] basically just across the [STREET].",portland
05_18_2016,homeless,"In essence, there has been no consultation with [ORGANIZATION] about this plan of approach. And while I appreciate Commissioner [PERSON]'s.  raising these concerns i don't think it's appropriate to sort of prejudge the best [STREET] to accomplish the housing outreach that she desires is by placing this money in oni and so i'm proposing that we [STREET] the money in contingency we charge [ORGANIZATION] which has not been consulted on this and also the proposed joint office for homeless services which is also on the home for everyone which has also had no input on this that all these organizations  work together no presupposition about where the money lands but come up with the best outreach plan possible bring that back to council by [ORGANIZATION] for us to consider it and then take the money put the 350 000 in the contingency until we sign off on that plan  I think that is something that reflects a truly consensus approach to this and will result in, I think, the wisest expenditure of these dollars to achieve the much-needed outreach about housing in our city.",portland
05_18_2016,homeless; affordable housing,"[STREET] it in contingency, charge the affected bureaus to come up with a plan that makes sense, not to prejudge that it's going to go to one bureau and then they have to, you know, call the shots. So I think if we're really interested in achieving the best outreach about what we're doing on housing, affordable housing development and homeless services, we should charge those bureaus to come back with a non-biased plan about how best to do the job  and then let council approve it by [ORGANIZATION] out of contingency. So I vote aye.",portland
05_18_2016,homeless,"Here's how I come down. Two things. One, thanks to your leadership, Commissioner [PERSON], we are moving most of the homeless services staff out of [ORGANIZATION] and over to the county.",portland
05_18_2016,homelessness,"And there are people in my office who spend a great deal of time dealing with homelessness issues, and we work a lot with neighborhoods. So I think it's not an unreasonable idea for [ORGANIZATION] to lead this work. I think it does have to come back to council.",portland
05_18_2016,homeless,"no no sorry no i'm voting no one voting for commissioner [ORGANIZATION]'s uh uh the mayor version of the before we take a vote on the amendment to commissioner [ORGANIZATION]'s motion i have a friendly amendment okay  which is I do like the language as I read it in [PERSON]'s substitute about the proposed city-county joint office playing a role. I know it's implied, but could we make that explicit, that [ORGANIZATION], the proposed city-county joint office for homeless services, and the home for everyone be consulted in that outreach?",portland
05_18_2016,homeless,So to add in the budget note with it. [ORGANIZATION] to work with [PERSON] and ORG2 and the proposed [PERSON]. I believe it's implied.,portland
05_18_2016,homeless,"but also with all of the affected parties okay roll call on Commissioner [PERSON]'s proposed budget note language as further amended well I appreciate the efforts as I said my concern is there's been no consultation with [ORGANIZATION] [PERSON] and there's a prejudgment about which is the best ORG2 to conduct necessary housing And I don't feel this idea is really fully baked, so I vote no.",portland
05_18_2016,homelessness; affordable housing,We have committed record funding to address affordable housing and homelessness. We have restored funding in audit services to ensure that they have the staff they need to provide independent oversight of council operations. We extended and expanded a very successful [ORGANIZATION] program supporting small businesses in [ORGANIZATION].,portland
05_18_2016,homelessness,"modified zero-based budgeting, chief among them, and the discipline that we have shown together in targeting our resources to core community needs, be they public safety, housing and homelessness, or transportation infrastructure. Finally, I want to thank my team, led by [ORGANIZATION], and particularly PERSON1, PERSON2, PERSON3, PERSON4, PERSON5, and [PERSON]. DATE0, with this budget, I am proud to vote aye.",portland
05_18_2016,homeless; affordable housing,"so i think you've done a great job mayor even though there was a fundamental disagreement about the fact that we have record revenue surplus revenues and the need for a new revenue source so i think you've got most of what you're getting in your budget  I particularly want to laud the restoration of 13 firefighters to general fund away from a federal grant, very critical positions, and the record investment under Mayor [PERSON]'s leadership in housing and homeless services. This really is, and joined by record investments on the county itself, I think we're poised to really make some differences, both in the production of affordable housing and in continued services to those who are homeless.",portland
05_18_2016,homeless,"[TIME] we learned that the voters approved a major investment in [STREET] repair and traffic safety putting an end to [ORGANIZATION] of futility on those issues. DATE1 the [ORGANIZATION] is approving a budget. that, first of all, as my colleagues have said, makes major investments in housing and homeless facilities and services.",portland
05_18_2016,homeless; affordable housing,"And I think it's worth calling some of that out. The budget includes over $29 million in new investments in housing, which is a 74% increase over the [ORGANIZATION] revised budget, 156% increase over the DATE1 budget. those new investments include 14.4 million for the housing investment fund which we use to develop or preserve affordable housing over 12 million for projects prioritized by the home for everyone collaboration including support for homeless veterans shelters and housing placement services 690 000 for costs related to maintaining and improving homeless campsites and additional funds for home repair grants home",portland
05_18_2016,homelessness,"In fact, we learn so much that we then followed up on those meetings and had a [ORGANIZATION] here in [ORGANIZATION], organized by [ORGANIZATION], thank you, that brought together the mayors of the major [ORGANIZATION] cities to talk about climate change and about housing and homelessness, and the Secretary of [ORGANIZATION] and the head of [ORGANIZATION] showed up for the meeting. And I learn a lot in those discussions. And one of the things that has become so clear for me in that context is that the world is moving to cities, not just this one, but the world is obviously moving here too.",portland
05_18_2016,affordable housing,"DATE0 we will again act on school funding, and I'm really happy that we're spending over $100 million on three of our high schools to put them in good shape. And I really do believe we need to have more money for affordable housing. But boy, do we ride that poor, tired property tax horse hard, because it's kind of what we have for capital investments, with now the happy exception of a little bit of gas tax.",portland
05_18_2016,homeless,"I don't know what the exact reason for that is, why the homeless people have to be out on FAC0 and pushed around by the police. I've never actually researched that particular block, but we generally know that vacant blocks get maintained by the [ORGANIZATION]. The same [ORGANIZATION], which in its budget, is apparently doing some weird deal with [ORGANIZATION] to fence off and rent space under FAC1  near [LOCATION].",portland
05_18_2016,affordable housing,"And this budget...  has a lot of things that I like in it and obviously no budget is perfect, but I also want to acknowledge that we did make your job more difficult by bumping the [ORGANIZATION] to 45 for affordable housing. And that that had a domino effect in other priorities within the [ORGANIZATION]. When we made the change to take housing out and to focus on economic development, I think at the time it was the right call.",portland
05_18_2016,affordable housing,"I think as we look at manufactured home parks as an affordable housing option, particularly in some of the ones that we're going to be trying to save, and if they then become more of a long-term option,  there may be an opportunity to add one or two more spaces that would add one or two more affordable homes. And, you know, $560, as you say, is a minor amount for the [ORGANIZATION]. It's a [ORGANIZATION]'s rent for a manufactured home park occupant.",portland
04_24_2019,homeless,"Thank you. Whereas everyone deserves an opportunity to rebuild their lives, reach their fullest potential, and become productive members of society, and whereas an estimated 70 million Americans have a criminal record, and over 600,000 are released from prison [DATE], and whereas justice-involved individuals often struggle to find housing, secure employment, pursue higher education, regain voting rights, and regain financial freedom,  and whereas justice-involved individuals are disproportionately represented in [ORGANIZATION]'s homeless and unemployed populations, and whereas people of color are disproportionately represented in [PERSON]'s prison system and face even higher barriers once they are released,  and whereas we are all safer when justice-involved individuals are given every opportunity to access stable homes, secure employment, and rebuild their lives. Now, therefore, I, [ORGANIZATION], on behalf of [ORGANIZATION], Mayor of the City of [ORGANIZATION], [PERSON], [PERSON], do hereby proclaim [ORGANIZATION] to be [LOCATION] in [ORGANIZATION] and encourage all residents to observe DATE2.",portland
04_27_2017,affordable housing,"Those will now begin to take effect and will help us steer and make sure that affordable housing happens where it's in proximity to  neighborhoods that are walkable, that are well-connected by transit and other options. So this, too, is an important part of how we grow in ways that reduce carbon emissions but also provide quality of life and affordability for all of our residents. The comprehensive plan is now in [STREET].",portland
04_27_2017,affordable housing,"And I want to mention that it's been a pleasure to begin working with Commissioner [PERSON] around an accessory dwelling unit project, which is going like gangbusters, I have to say. I feel like I'm supposed to be facilitating mostly running behind this 30 or 40 people that span the spectrum from architects to bankers to developers and people working for advocacy for seniors in affordable housing. So you'll hear more about that in the future.",portland
04_27_2017,affordable housing,"And so I'm wondering if somewhere in this plan, you're looking at the impacts of our lack of affordable housing, at how displacement is affecting our climate plan, because we have so many workers who are forced out to the outskirts or out of the city altogether. That would be a really interesting...  frame for this for me personally. Some of the work we did in the development of the comprehensive plan, which you didn't have the benefit of sitting through [TIME] of work as some of the rest of [ORGANIZATION].",portland
04_15_2015,affordable housing,"By including students in multiple events per year, this program provides the practice necessary to build confidence and have one's voice heard. This advocacy practice also takes the form of questions at the microphone at [ORGANIZATION], where I've seen future leaders bravely ask questions about gun control, legislation protecting undocumented immigrants, affordable housing, and the lack of affordable arts opportunities in [ORGANIZATION]. These questions again build confidence.",portland
